TITLE,B19_ZnO_16
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,FCBiR
DATE,22/10/05
TIME,10:17:22
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,REFLECTANCE
FIRSTX, 1200.0000
LASTX,  300.0000
NPOINTS,     901
FIRSTY,     0.28906
MAXY,     0.65528
MINY,     0.10504
XYDATA
695.0000,0.142565
694.0000,0.143705
693.0000,0.146021
692.0000,0.146316
691.0000,0.14718
690.0000,0.148554
689.0000,0.149429
688.0000,0.148901
687.0000,0.151183
686.0000,0.15145
685.0000,0.151541
684.0000,0.151857
683.0000,0.152355
682.0000,0.152217
681.0000,0.151132
680.0000,0.150457
679.0000,0.149367
678.0000,0.147955
677.0000,0.147023
676.0000,0.147999
675.0000,0.148552
674.0000,0.149222
673.0000,0.149226
672.0000,0.150219
671.0000,0.149025
670.0000,0.149772
669.0000,0.150981
668.0000,0.151233
667.0000,0.150559
666.0000,0.152761
665.0000,0.152881
664.0000,0.152323
663.0000,0.153104
662.0000,0.151408
661.0000,0.153568
660.0000,0.153162
659.0000,0.15426
658.0000,0.152536
657.0000,0.154096
656.0000,0.153666
655.0000,0.154309
654.0000,0.155258
653.0000,0.156029
652.0000,0.155597
651.0000,0.156314
650.0000,0.156449
649.0000,0.154998
648.0000,0.15635
647.0000,0.157155
646.0000,0.156002
645.0000,0.157934
644.0000,0.158361
643.0000,0.158386
642.0000,0.158669
641.0000,0.159344
640.0000,0.158072
639.0000,0.160756
638.0000,0.160468
637.0000,0.159108
636.0000,0.161169
635.0000,0.161386
634.0000,0.162034
633.0000,0.161834
632.0000,0.160902
631.0000,0.162989
630.0000,0.16298
629.0000,0.162429
628.0000,0.164117
627.0000,0.165154
626.0000,0.164192
625.0000,0.163822
624.0000,0.165219
623.0000,0.165488
622.0000,0.164615
621.0000,0.165899
620.0000,0.166087
619.0000,0.166699
618.0000,0.167079
617.0000,0.167726
616.0000,0.167748
615.0000,0.167692
614.0000,0.170447
613.0000,0.168575
612.0000,0.170847
611.0000,0.170411
610.0000,0.169895
609.0000,0.172316
608.0000,0.172301
607.0000,0.170853
606.0000,0.171507
605.0000,0.171186
604.0000,0.173759
603.0000,0.173932
602.0000,0.174376
601.0000,0.174647
600.0000,0.174985
599.0000,0.173275
598.0000,0.174953
597.0000,0.17534
596.0000,0.176374
595.0000,0.177338
594.0000,0.177279
593.0000,0.178327
592.0000,0.179431
591.0000,0.179871
590.0000,0.180087
589.0000,0.179474
588.0000,0.178995
587.0000,0.181207
586.0000,0.18175
585.0000,0.181367
584.0000,0.182622
583.0000,0.183163
582.0000,0.183326
581.0000,0.182779
580.0000,0.186101
579.0000,0.184753
578.0000,0.184926
577.0000,0.185159
576.0000,0.184971
575.0000,0.186693
574.0000,0.18741
573.0000,0.185949
572.0000,0.187453
571.0000,0.18868
570.0000,0.189103
569.0000,0.188664
568.0000,0.190911
567.0000,0.189852
566.0000,0.190413
565.0000,0.190768
564.0000,0.19084
563.0000,0.190109
562.0000,0.191982
561.0000,0.193601
560.0000,0.193356
559.0000,0.194787
558.0000,0.194117
557.0000,0.195544
556.0000,0.195464
555.0000,0.195155
554.0000,0.195716
553.0000,0.196302
552.0000,0.195794
551.0000,0.19698
550.0000,0.197387
549.0000,0.198429
548.0000,0.198747
547.0000,0.200078
546.0000,0.199692
545.0000,0.2001
544.0000,0.201398
543.0000,0.201093
542.0000,0.201638
541.0000,0.203987
540.0000,0.20305
539.0000,0.204279
538.0000,0.204327
537.0000,0.204507
536.0000,0.205335
535.0000,0.205676
534.0000,0.206329
533.0000,0.207154
532.0000,0.207639
531.0000,0.207256
530.0000,0.207557
529.0000,0.209659
528.0000,0.208745
527.0000,0.209311
526.0000,0.210171
525.0000,0.211423
524.0000,0.213241
523.0000,0.212623
522.0000,0.213771
521.0000,0.214035
520.0000,0.213228
519.0000,0.214487
518.0000,0.214447
517.0000,0.214157
516.0000,0.214651
515.0000,0.215825
514.0000,0.217981
513.0000,0.217094
512.0000,0.218619
511.0000,0.218639
510.0000,0.219953
509.0000,0.21891
508.0000,0.22074
507.0000,0.222698
506.0000,0.221031
505.0000,0.221101
504.0000,0.222812
503.0000,0.223213
502.0000,0.226345
501.0000,0.223958
500.0000,0.22464
499.0000,0.226832
498.0000,0.227723
497.0000,0.226913
496.0000,0.22955
495.0000,0.228573
494.0000,0.230615
493.0000,0.230339
492.0000,0.232798
491.0000,0.230625
490.0000,0.232601
489.0000,0.232466
488.0000,0.235376
487.0000,0.234306
486.0000,0.235763
485.0000,0.237103
484.0000,0.23674
483.0000,0.237906
482.0000,0.239861
481.0000,0.238285
480.0000,0.240384
479.0000,0.240943
478.0000,0.241656
477.0000,0.243446
476.0000,0.241351
475.0000,0.244239
474.0000,0.244304
473.0000,0.244573
472.0000,0.24551
471.0000,0.249033
470.0000,0.249151
469.0000,0.247492
468.0000,0.24945
467.0000,0.25111
466.0000,0.251821
465.0000,0.252729
464.0000,0.253299
463.0000,0.254201
462.0000,0.254651
461.0000,0.255461
460.0000,0.256446
459.0000,0.259666
458.0000,0.259888
457.0000,0.261647
456.0000,0.260611
455.0000,0.26232
454.0000,0.263216
453.0000,0.265346
452.0000,0.26675
451.0000,0.267184
450.0000,0.267753
449.0000,0.271944
448.0000,0.268287
447.0000,0.270929
446.0000,0.273046
445.0000,0.273057
444.0000,0.272739
443.0000,0.276502
442.0000,0.274794
441.0000,0.27632
440.0000,0.27591
439.0000,0.279759
438.0000,0.278521
437.0000,0.278953
436.0000,0.282056
435.0000,0.281596
434.0000,0.284652
433.0000,0.284272
432.0000,0.283374
431.0000,0.284124
430.0000,0.28549
429.0000,0.286955
428.0000,0.289921
427.0000,0.288382
426.0000,0.289039
425.0000,0.294957
424.0000,0.294355
423.0000,0.298113
422.0000,0.299064
421.0000,0.301427
420.0000,0.301035
419.0000,0.306046
418.0000,0.309302
417.0000,0.306864
416.0000,0.30939
415.0000,0.313621
414.0000,0.313917
413.0000,0.311543
412.0000,0.315281
411.0000,0.309938
410.0000,0.309729
409.0000,0.312655
408.0000,0.312867
407.0000,0.315791
406.0000,0.314902
405.0000,0.314344
404.0000,0.318229
403.0000,0.320854
402.0000,0.32155
401.0000,0.323646
400.0000,0.326509
399.0000,0.330963
398.0000,0.33371
397.0000,0.332443
396.0000,0.3334
395.0000,0.336828
394.0000,0.336767
393.0000,0.341791
392.0000,0.343363
391.0000,0.350027
390.0000,0.345863
389.0000,0.347759
388.0000,0.354968
387.0000,0.356223
386.0000,0.359341
385.0000,0.362258
384.0000,0.360997
383.0000,0.365339
382.0000,0.366268
381.0000,0.371093
380.0000,0.366902
379.0000,0.368674
378.0000,0.370772
377.0000,0.371271
376.0000,0.372434
375.0000,0.377306
374.0000,0.381853
373.0000,0.379654
372.0000,0.379224
371.0000,0.381682
370.0000,0.36233
369.0000,0.371309
368.0000,0.376476
367.0000,0.367862
366.0000,0.378571
365.0000,0.377405
364.0000,0.379976
363.0000,0.384482
362.0000,0.393007
361.0000,0.389364
360.0000,0.3992
359.0000,0.406504
358.0000,0.410992
357.0000,0.404075
356.0000,0.412587
355.0000,0.412296
354.0000,0.414023
353.0000,0.414532
352.0000,0.420773
351.0000,0.429558
350.0000,0.424942
349.0000,0.435185
348.0000,0.427959
347.0000,0.430799
346.0000,0.442398
345.0000,0.44011
344.0000,0.445237
343.0000,0.448683
342.0000,0.444979
341.0000,0.452073
340.0000,0.445616
339.0000,0.4369
338.0000,0.437646
337.0000,0.446119
336.0000,0.452913
335.0000,0.458453
334.0000,0.451873
333.0000,0.460727
332.0000,0.46162
331.0000,0.468596
330.0000,0.464627
329.0000,0.468907
328.0000,0.470698
327.0000,0.476191
326.0000,0.469669
325.0000,0.481425
324.0000,0.493648
323.0000,0.496335
322.0000,0.496385
321.0000,0.497789
320.0000,0.51104
319.0000,0.505508
