TITLE,ZnO_B19_szklo_4
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,FCBiR
DATE,22/10/11
TIME,12:10:50
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,REFLECTANCE
FIRSTX, 1200.0000
LASTX,  300.0000
NPOINTS,     901
FIRSTY,     0.33382
MAXY,     0.84990
MINY,     0.22884
XYDATA
913.0000,0.48947
912.0000,0.446818
911.0000,0.479617
910.0000,0.491913
909.0000,0.47368
908.0000,0.483614
907.0000,0.494833
906.0000,0.486239
905.0000,0.506313
904.0000,0.488888
903.0000,0.483054
902.0000,0.50461
901.0000,0.502934
900.0000,0.47651
899.0000,0.498174
898.0000,0.497325
897.0000,0.487476
896.0000,0.527345
895.0000,0.509107
894.0000,0.510419
893.0000,0.512122
892.0000,0.516623
891.0000,0.517324
890.0000,0.530624
889.0000,0.522816
888.0000,0.535067
887.0000,0.525177
886.0000,0.547832
885.0000,0.543374
884.0000,0.518474
883.0000,0.551609
882.0000,0.523493
881.0000,0.560955
880.0000,0.534411
879.0000,0.562573
878.0000,0.557264
877.0000,0.561652
876.0000,0.55203
875.0000,0.557976
874.0000,0.569298
873.0000,0.600601
872.0000,0.584606
871.0000,0.608393
870.0000,0.57465
869.0000,0.5773
868.0000,0.597563
867.0000,0.573023
866.0000,0.571955
865.0000,0.584223
864.0000,0.574673
863.0000,0.598517
862.0000,0.606396
861.0000,0.604481
860.0000,0.63818
859.0000,0.623995
858.0000,0.60348
857.0000,0.632847
856.0000,0.594263
855.0000,0.617794
854.0000,0.587515
853.0000,0.628182
852.0000,0.628856
851.0000,0.64168
850.0000,0.228836
849.0000,0.250612
848.0000,0.230299
847.0000,0.244809
846.0000,0.242045
845.0000,0.247962
844.0000,0.253176
843.0000,0.245367
842.0000,0.246195
841.0000,0.25111
840.0000,0.251603
839.0000,0.248687
838.0000,0.246449
837.0000,0.251462
836.0000,0.246636
835.0000,0.253531
834.0000,0.247682
833.0000,0.254497
832.0000,0.253495
831.0000,0.252721
830.0000,0.25613
829.0000,0.258702
828.0000,0.245176
827.0000,0.257135
826.0000,0.254399
825.0000,0.253252
824.0000,0.260406
823.0000,0.257096
822.0000,0.259286
821.0000,0.250617
820.0000,0.26153
819.0000,0.25342
818.0000,0.257182
817.0000,0.254509
816.0000,0.258875
815.0000,0.260184
814.0000,0.259819
813.0000,0.254504
812.0000,0.257222
811.0000,0.261808
810.0000,0.260432
809.0000,0.265899
808.0000,0.264841
807.0000,0.262307
806.0000,0.26184
805.0000,0.261255
804.0000,0.260855
803.0000,0.261219
802.0000,0.262215
801.0000,0.263693
800.0000,0.260668
799.0000,0.264501
798.0000,0.26374
797.0000,0.264959
796.0000,0.266626
795.0000,0.266516
794.0000,0.262403
793.0000,0.266111
792.0000,0.26875
791.0000,0.263995
790.0000,0.27025
789.0000,0.267401
788.0000,0.265335
787.0000,0.269703
786.0000,0.267958
785.0000,0.264428
784.0000,0.268825
783.0000,0.270426
782.0000,0.272192
781.0000,0.270914
780.0000,0.270688
779.0000,0.268007
778.0000,0.269918
777.0000,0.267802
776.0000,0.271889
775.0000,0.270148
774.0000,0.270969
773.0000,0.274632
772.0000,0.267366
771.0000,0.271373
770.0000,0.275707
769.0000,0.27659
768.0000,0.273094
767.0000,0.273798
766.0000,0.278172
765.0000,0.275298
764.0000,0.275538
763.0000,0.274028
762.0000,0.276357
761.0000,0.274668
760.0000,0.275987
759.0000,0.27609
758.0000,0.277584
757.0000,0.278697
756.0000,0.277033
755.0000,0.27951
754.0000,0.279501
753.0000,0.279441
752.0000,0.279135
751.0000,0.282699
750.0000,0.283397
749.0000,0.281022
748.0000,0.283235
747.0000,0.281057
746.0000,0.278611
745.0000,0.284036
744.0000,0.278966
743.0000,0.285352
742.0000,0.282961
741.0000,0.285361
740.0000,0.286705
