TITLE,ZnO_B20_16
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,FCBiR
DATE,22/10/10
TIME,13:25:36
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,REFLECTANCE
FIRSTX, 1200.0000
LASTX,  300.0000
NPOINTS,     901
FIRSTY,     0.26044
MAXY,     0.50308
MINY,     0.05841
XYDATA
703.0000,0.135691
702.0000,0.135975
701.0000,0.134377
700.0000,0.135054
699.0000,0.13533
698.0000,0.137627
697.0000,0.137658
696.0000,0.138898
695.0000,0.138562
694.0000,0.141169
693.0000,0.141632
692.0000,0.142352
691.0000,0.143164
690.0000,0.145441
689.0000,0.146305
688.0000,0.147298
687.0000,0.146896
686.0000,0.148118
685.0000,0.148486
684.0000,0.146819
683.0000,0.147875
682.0000,0.147454
681.0000,0.148065
680.0000,0.14631
679.0000,0.144588
678.0000,0.142316
677.0000,0.142424
676.0000,0.143173
675.0000,0.142795
674.0000,0.143571
673.0000,0.145465
672.0000,0.144247
671.0000,0.14478
670.0000,0.145014
669.0000,0.145844
668.0000,0.145037
667.0000,0.144607
666.0000,0.146821
665.0000,0.146215
664.0000,0.145968
663.0000,0.146865
662.0000,0.146706
661.0000,0.147897
660.0000,0.147808
659.0000,0.147377
658.0000,0.148271
657.0000,0.147164
656.0000,0.149628
655.0000,0.149195
654.0000,0.148879
653.0000,0.148609
652.0000,0.148293
651.0000,0.149438
650.0000,0.15124
649.0000,0.149091
648.0000,0.151392
647.0000,0.151261
646.0000,0.151856
645.0000,0.151663
644.0000,0.15116
643.0000,0.151889
642.0000,0.152147
641.0000,0.152483
640.0000,0.152153
639.0000,0.152954
638.0000,0.153618
637.0000,0.151945
636.0000,0.154224
635.0000,0.15415
634.0000,0.154432
633.0000,0.154659
632.0000,0.155568
631.0000,0.153791
630.0000,0.155789
629.0000,0.15523
628.0000,0.154723
627.0000,0.155629
626.0000,0.156276
625.0000,0.157526
624.0000,0.156521
623.0000,0.157111
622.0000,0.159049
621.0000,0.157435
620.0000,0.159267
619.0000,0.158857
618.0000,0.159396
617.0000,0.159292
616.0000,0.160135
615.0000,0.157995
614.0000,0.160601
613.0000,0.159474
612.0000,0.161643
611.0000,0.161434
610.0000,0.16166
609.0000,0.161644
608.0000,0.161913
607.0000,0.162769
606.0000,0.163736
605.0000,0.162645
604.0000,0.162979
603.0000,0.162945
602.0000,0.166107
601.0000,0.165597
600.0000,0.164864
599.0000,0.165308
598.0000,0.165887
597.0000,0.166415
596.0000,0.16597
595.0000,0.164686
594.0000,0.166796
593.0000,0.167343
